,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kings-2016-06,0.0,0.0,2016-06,13.793,3.4083333333333337,0.12399999999999994,0.8443333333333332,101057.82833333332,15.683666666666662,Kings,36.53488613891142,-119.94275255070085,False,06,2016
Kings-2016-07,0.0,0.0,2016-07,16.840967741935483,3.84258064516129,0.08709677419354836,0.7629032258064515,101147.87161290324,19.51645161290323,Kings,35.251141120161996,-120.34626094283506,False,07,2016
Kings-2016-08,0.0,0.0,2016-08,16.89032258064516,4.3187096774193545,0.09451612903225803,0.7590322580645159,101332.59548387096,19.50161290322581,Kings,35.734942381604114,-120.15543503447097,False,08,2016
Kings-2016-09,0.0,0.0,2016-09,15.986000000000002,4.239333333333333,0.066,0.8090000000000003,101190.04966666667,18.688666666666666,Kings,35.55704539431431,-119.5079673332834,False,09,2016
Kings-2016-10,0.0,0.0,2016-10,11.228709677419355,4.1587096774193535,0.04580645161290323,0.8387096774193546,101885.60096774194,11.900645161290324,Kings,35.77712577037421,-120.78837830451286,False,10,2016
Kings-2016-11,0.0,0.0,2016-11,6.293000000000001,4.108666666666666,0.10166666666666667,0.8520000000000001,101047.61,5.2973333333333334,Kings,35.56903386162674,-120.29739854707951,False,11,2016
Kings-2016-12,0.0,0.0,2016-12,6.4793548387096775,4.53,0.03387096774193549,0.8906451612903226,102159.3,5.77,Kings,35.94699929900266,-118.82843656747666,False,12,2016
Kings-2017-01,0.0,0.0,2017-01,4.064193548387096,4.059677419354839,0.055806451612903235,0.8822580645161291,101825.21193548387,2.5445161290322598,Kings,36.56429159869855,-119.14017624703841,False,01,2017
Kings-2017-02,0.0,0.0,2017-02,6.313928571428571,5.3235714285714275,0.09357142857142857,0.8521428571428571,100875.9157142857,5.344642857142857,Kings,36.4520202101659,-120.63043263094374,False,02,2017
Kings-2017-03,0.0,0.0,2017-03,8.376774193548385,4.532580645161291,0.09387096774193547,0.8087096774193548,100962.28225806447,7.82032258064516,Kings,35.617850977834394,-119.8452249541435,False,03,2017
Kings-2017-04,0.0,0.0,2017-04,8.785,4.003333333333334,0.04233333333333334,0.7419999999999998,101795.18066666664,7.923000000000001,Kings,35.6969559312398,-120.63043193953355,False,04,2017
Kings-2017-06,0.0,0.0,2017-06,15.89933333333333,4.536333333333333,0.14966666666666664,0.7810000000000001,100799.14166666666,18.224666666666668,Kings,36.89609405735741,-120.62692885346048,False,06,2017
Kings-2017-09,0.0,0.0,2017-09,13.49866666666667,4.322666666666667,0.11599999999999995,0.8329999999999999,100819.47466666668,15.15666666666667,Kings,36.90453625562844,-119.4168318519664,False,09,2017
Kings-2017-10,0.0,0.0,2017-10,12.620322580645164,5.673225806451613,0.06258064516129032,0.8132258064516128,101127.43612903227,13.758387096774195,Kings,35.91225749227375,-119.55806562636847,False,10,2017
Kings-2017-11,0.0,0.0,2017-11,6.863000000000001,4.887333333333333,0.077,0.8356666666666667,101006.597,6.015666666666665,Kings,35.2920133957708,-120.11947527169315,False,11,2017
Kings-2017-12,0.0,0.0,2017-12,4.715806451612902,4.924193548387096,0.06806451612903226,0.8596774193548389,100728.7741935484,3.341612903225806,Kings,35.76326071917593,-118.94051633897523,False,12,2017
Kings-2018-01,0.0,0.0,2018-01,5.079032258064517,5.45258064516129,0.08000000000000003,0.8503225806451614,100440.11322580646,3.7009677419354836,Kings,35.401866865533336,-119.33485670096948,False,01,2018
Kings-2018-02,0.0,0.0,2018-02,3.000357142857143,4.855357142857144,0.07714285714285715,0.8142857142857144,101348.09321428568,0.9235714285714286,Kings,36.39562651464243,-119.28021399081742,False,02,2018
Kings-2018-03,0.0,0.0,2018-03,4.65483870967742,4.9977419354838695,0.12838709677419352,0.8245161290322582,99984.14354838713,3.064193548387097,Kings,36.926393499674376,-119.70991802071656,False,03,2018
Kings-2018-05,0.0,0.0,2018-05,12.36387096774193,3.9451612903225803,0.06193548387096775,0.7735483870967742,101556.29806451613,13.050967741935484,Kings,36.55630545619016,-119.66312421272418,False,05,2018
Kings-2018-06,0.0,0.0,2018-06,14.79533333333333,3.3466666666666662,0.030000000000000013,0.7553333333333332,101631.56066666669,16.312,Kings,35.46662918378991,-120.36248381479608,False,06,2018
Kings-2018-07,0.0,0.0,2018-07,18.50032258064516,2.8632258064516125,0.04193548387096775,0.7003225806451612,101351.69193548383,21.27870967741936,Kings,36.183339820459956,-120.28661946702039,False,07,2018
Kings-2018-09,0.0,0.0,2018-09,13.902666666666667,4.788333333333333,0.05900000000000001,0.7489999999999999,101542.01066666668,15.024666666666665,Kings,35.28405576010428,-120.33405824953294,False,09,2018
Kings-2018-10,0.0,0.0,2018-10,11.151612903225805,4.947096774193548,0.07548387096774191,0.802258064516129,101365.67258064516,11.635483870967741,Kings,36.59474381240801,-119.68712815148552,False,10,2018
Kings-2018-11,0.0,0.0,2018-11,8.501333333333333,5.361666666666666,0.08199999999999999,0.8583333333333332,100835.1676666667,8.283333333333335,Kings,36.2071079741702,-119.42945249987208,False,11,2018
